entry_id,annotation_type,lpips
1739_3_det0,number_letter,0.0944
1739_3_det1,number_letter,0.2253
1739_3_det2,arrow,0.1176
1739_5_det0,arrow,0.0984
1739_5_det2,arrow,0.1232
176_1_det0,freeform_bbox,0.5547
176_1_det1,arrow,0.1033
176_1_det2,number_letter,0.3291
176_1_det3,number_letter,0.3662
179_0_det0,freeform_bbox,0.4708
1798_4_det0,arrow,0.2960
1798_4_det1,number_letter,0.3459
1823_3_det0,freeform_bbox,0.4983
1823_3_det1,arrow,0.1661
1823_3_det2,arrow,0.3244
1868_0_det0,arrow,0.2223
1868_0_det3,number_letter,0.1767
1868_0_det4,number_letter,0.1966
1868_0_det5,number_letter,0.2264
1868_0_det6,number_letter,0.1838
1868_2_det0,arrow,0.1259
1868_2_det2,arrow,0.1594
1837_5_det0,arrow,0.2203
1894_5_det0,number_letter,0.2642
1918_0_det0,arrow,0.2124
1918_0_det4,freeform_bbox,0.5442
1944_0_det2,arrow,0.1344
1944_0_det3,freeform_bbox,0.3246
1944_0_det5,arrow,0.1438
1936_1_det0,number_letter,0.2419
1936_5_det0,number_letter,0.1457
1936_5_det1,number_letter,0.1047
1936_5_det2,number_letter,0.1677
1936_5_det3,number_letter,0.1121
1936_5_det4,number_letter,0.1285
1936_5_det5,number_letter,0.1353
1976_0_det0,arrow,0.1309
1963_0_det1,arrow,0.3228
1963_0_det2,arrow,0.3207
2009_0_det0,freeform_bbox,0.8411
2009_0_det1,arrow,0.2817
1995_3_det0,arrow,0.3283
1995_3_det1,number_letter,0.1351
1995_3_det2,arrow,0.4519
1995_5_det0,arrow,0.3286
1995_5_det1,number_letter,0.1333
1995_5_det3,arrow,0.4489
1995_5_det4,number_letter,0.1243
2014_4_det2,number_letter,0.1412
2014_4_det4,arrow,0.2822
2011_0_det0,freeform_bbox,0.6712
2011_0_det1,arrow,0.2219
2011_0_det2,number_letter,0.1418
2011_0_det3,number_letter,0.1478
2011_0_det4,number_letter,0.1440
2011_0_det5,number_letter,0.1592
2011_0_det6,number_letter,0.1180
2011_0_det7,number_letter,0.1476
2011_0_det8,number_letter,0.0941
2011_0_det9,number_letter,0.1219
2011_0_det10,number_letter,0.1509
2044_0_det0,arrow,0.2204
2044_0_det2,arrow,0.2129
2044_1_det1,freeform_bbox,0.3644
