run,source,type_or_key,n,metric,value
pvs,boundary_f1,freeform_bbox,4141,iou_mean,0.5367
pvs,boundary_f1,freeform_bbox,4141,iou_median,0.5499
pvs,boundary_f1,freeform_bbox,4141,f1_mean,0.4109
pvs,boundary_f1,freeform_bbox,4141,f1_median,0.4007
pvs,boundary_f1,freeform_bbox,4141,precision_mean,0.3585
pvs,boundary_f1,freeform_bbox,4141,recall_mean,0.5108
pvs,boundary_f1,number_letter,2067,iou_mean,0.4137
pvs,boundary_f1,number_letter,2067,iou_median,0.4027
pvs,boundary_f1,number_letter,2067,f1_mean,0.4487
pvs,boundary_f1,number_letter,2067,f1_median,0.4763
pvs,boundary_f1,number_letter,2067,precision_mean,0.4482
pvs,boundary_f1,number_letter,2067,recall_mean,0.4923
pvs,boundary_f1,OVERALL (micro),8288,iou_mean,0.4180
pvs,boundary_f1,OVERALL (micro),8288,iou_median,0.4075
pvs,boundary_f1,OVERALL (micro),8288,f1_mean,0.3892
pvs,boundary_f1,OVERALL (micro),8288,f1_median,0.3527
pvs,boundary_f1,OVERALL (micro),8288,precision_mean,0.3735
pvs,boundary_f1,OVERALL (micro),8288,recall_mean,0.4605
pvs,boundary_f1,OVERALL (macro),8288,iou_mean,0.3788
pvs,boundary_f1,OVERALL (macro),8288,f1_mean,0.3821
pcs,boundary_f1,arrow,2080,iou_mean,0.0811
pcs,boundary_f1,arrow,2080,iou_median,0.0125
pcs,boundary_f1,arrow,2080,f1_mean,0.1681
pcs,boundary_f1,arrow,2080,f1_median,0.1112
pcs,boundary_f1,arrow,2080,precision_mean,0.2000
pcs,boundary_f1,arrow,2080,recall_mean,0.2174
pcs,boundary_f1,freeform_bbox,4141,iou_mean,0.3258
pcs,boundary_f1,freeform_bbox,4141,iou_median,0.2592
pcs,boundary_f1,freeform_bbox,4141,f1_mean,0.2840
pcs,boundary_f1,freeform_bbox,4141,f1_median,0.2519
pcs,boundary_f1,freeform_bbox,4141,precision_mean,0.2338
pcs,boundary_f1,freeform_bbox,4141,recall_mean,0.3907
pcs,boundary_f1,number_letter,2067,iou_mean,0.2280
pcs,boundary_f1,number_letter,2067,iou_median,0.1445
pcs,boundary_f1,number_letter,2067,f1_mean,0.2183
pcs,boundary_f1,number_letter,2067,f1_median,0.1518
pcs,boundary_f1,number_letter,2067,precision_mean,0.2187
pcs,boundary_f1,number_letter,2067,recall_mean,0.2815
pcs,boundary_f1,OVERALL (micro),8288,iou_mean,0.2400
pcs,boundary_f1,OVERALL (micro),8288,iou_median,0.1453
pcs,boundary_f1,OVERALL (micro),8288,f1_mean,0.2385
pcs,boundary_f1,OVERALL (micro),8288,f1_median,0.1840
pcs,boundary_f1,OVERALL (micro),8288,precision_mean,0.2216
pcs,boundary_f1,OVERALL (micro),8288,recall_mean,0.3200
pcs,boundary_f1,OVERALL (macro),8288,iou_mean,0.2116
pcs,boundary_f1,OVERALL (macro),8288,f1_mean,0.2235
